deal_id,client,created_date,closed_date,stage,deal_value,source_campaign
DEAL-00001,Solmar Hotels,2025-02-08,,New,1759.09,
DEAL-00002,Solmar Hotels,2025-02-09,,Qualified,6986.01,ES_Search_Generic_2025Q1
DEAL-00003,Solmar Hotels,2025-02-09,,New,1548.25,ES_Social_Retargeting_2025Q1
DEAL-00004,Solmar Hotels,2025-02-11,,Qualified,2462.79,ES_Social_Retargeting_2025Q1
DEAL-00005,Solmar Hotels,2025-02-12,,Qualified,2713.39,Organic Search
DEAL-00006,Solmar Hotels,2025-02-18,2025-04-07,Won,662.74,ES_Sponsored_Corporate_2025Q1
DEAL-00007,Solmar Hotels,2025-02-19,2025-03-14,Won,1060.69,ES_Social_Retargeting_2025Q1
DEAL-00008,Solmar Hotels,2025-02-21,2025-03-27,Lost,1745.72,ES_Search_Ge
DEAL-00009,Solmar Hotels,2025-02-21,2025-03-24,Won,812.76,ES_Social_Retargeting_2025Q1
DEAL-00010,Solmar Hotels,2025-02-25,2025-03-02,Won,966.6,ES_Social_Retargeting_2025Q1
DEAL-00011,Solmar Hotels,2025-02-26,2025-03-29,Won,1666.35,es sponsored corporate 2025q1??
DEAL-00012,Solmar Hotels,2025-02-26,2025-03-25,Won,914.64,ES_Search_Brand_2025Q1
DEAL-00013,Solmar Hotels,2025-02-28,2025-03-28,Lost,1350.63,ES_Search_Brand_2025Q1
DEAL-00014,Solmar Hotels,2025-02-28,2025-04-07,Lost,1953.01,ES_Social_Prospecting_2025Q1
DEAL-00015,Solmar Hotels,2025-02-28,,New,1509.3,ES_Social_Prospecting_2025Q1
DEAL-00016,Solmar Hotels,2025-03-05,2025-03-26,Won,819.97,
DEAL-00017,Solmar Hotels,2025-03-10,2025-04-18,Won,975.7,ES_Search_Brand_2025Q1
DEAL-00018,Solmar Hotels,2025-03-18,,New,1504.44,ES_Sponsored_Corporate_2025Q1
DEAL-00019,Solmar Hotels,2025-03-24,2025-04-23,Won,2406.57,Organic
DEAL-00020,Solmar Hotels,2025-03-24,2025-05-02,Won,803.09,Organic Search
DEAL-00021,Solmar Hotels,2025-03-27,2025-05-12,Won,1486.67,ES_Search_Generic_2025Q1
DEAL-00022,Solmar Hotels,2025-04-02,2025-05-24,Won,343.28,ES_Social_Retargeting_2025Q1
DEAL-00023,Solmar Hotels,2025-04-09,2025-05-19,Won,746.29,ES_Sponsored_Corporate_2025Q1
DEAL-00024,Solmar Hotels,2025-04-16,,Qualified,544.38,es social retargeting 2025q2??
DEAL-00025,Solmar Hotels,2025-04-17,2025-05-12,Won,2400.68,ES_Social_Retargeting_2025Q2
DEAL-00026,Solmar Hotels,2025-04-17,2025-05-14,Lost,1559.17,ES_Social_Retargeting_2025Q1
DEAL-00027,Solmar Hotels,2025-04-20,2025-04-25,Won,1329.0,-
DEAL-00028,Solmar Hotels,2025-04-20,2025-04-25,Won,757.39,ES_Social_Retargeting_2025Q1
DEAL-00029,Solmar Hotels,2025-04-20,2025-06-10,Lost,848.24,ES_Search_Brand_2025Q2
DEAL-00030,Solmar Hotels,2025-04-23,,Qualified,1207.67,es social prospecting 2025q1??
DEAL-00031,Solmar Hotels,2025-04-25,,New,2601.61,
DEAL-00032,Solmar Hotels,2025-04-26,2025-05-26,Won,2383.56,google ad
DEAL-00033,Solmar Hotels,2025-04-29,,Qualified,1875.66,ES_Sponsored_Corporate_2025Q1
DEAL-00034,Solmar Hotels,2025-04-30,2025-05-07,Lost,660.3,
DEAL-00035,Solmar Hotels,2025-05-03,2025-06-15,Lost,1734.42,PT_Social_Prospecting_2025Q2
DEAL-00036,Solmar Hotels,2025-05-03,,New,580.31,
DEAL-00037,Solmar Hotels,2025-05-07,2025-05-25,Lost,2015.23,ES_Search_SummerEscape_2025Q2
DEAL-00038,Solmar Hotels,2025-05-12,,New,855.83,n/a
DEAL-00039,Solmar Hotels,2025-05-15,2025-05-27,Lost,886.76,TBD
DEAL-00040,Solmar Hotels,2025-05-24,2025-07-22,Won,1889.68,ES_Search_Ge
DEAL-00041,Solmar Hotels,2025-05-25,2025-07-10,Won,897.72,Organic Search
DEAL-00042,Solmar Hotels,2025-05-26,2025-06-18,Lost,1228.06,
DEAL-00043,Solmar Hotels,2025-05-27,,Qualified,3078.13,old campaign?
DEAL-00044,Solmar Hotels,2025-05-29,2025-06-04,Won,2415.3,
DEAL-00045,Solmar Hotels,2025-05-31,,New,1349.81,walk-in
DEAL-00046,Solmar Hotels,2025-06-01,2025-07-23,Won,832.3,ES_Sponsored_Corporate_2025Q2
DEAL-00047,Solmar Hotels,2025-06-04,2025-06-19,Lost,495.86,ES_Social_Prospecting_2025Q1
DEAL-00048,Solmar Hotels,2025-06-05,2025-07-18,Won,881.09,
DEAL-00049,Solmar Hotels,2025-06-06,,Qualified,1233.23,
DEAL-00050,Solmar Hotels,2025-06-06,2025-06-28,Lost,796.57,ES_Social_Prospecting_2025Q2
DEAL-00051,Solmar Hotels,2025-06-08,,New,2955.83,PT_SOCIAL_PROSPECTING_2025Q2 (COPY)
DEAL-00052,Solmar Hotels,2025-06-08,2025-06-21,Won,2654.84,ES_Search_Brand_2025Q2
DEAL-00053,Solmar Hotels,2025-06-09,,New,957.03,PT_Social_Prospecting_2025Q2
DEAL-00054,Solmar Hotels,2025-06-10,2025-06-23,Won,3244.76,
DEAL-00055,Solmar Hotels,2025-06-10,2025-08-02,Won,1189.93,ES_SOCIAL_RETARGETING_2025Q2 (COPY)
DEAL-00056,Solmar Hotels,2025-06-11,,Qualified,4398.33,ES_Social_Prospecting_2025Q2
DEAL-00057,Solmar Hotels,2025-06-13,2025-07-26,Lost,1394.51,PT_SOCIAL_PROSPECTING_2025Q2 (COPY)
DEAL-00058,Solmar Hotels,2025-06-13,,Qualified,2960.38,
DEAL-00059,Solmar Hotels,2025-06-13,2025-08-03,Won,1080.99,ES_Search_SummerEscape_2025Q2
DEAL-00060,Solmar Hotels,2025-06-14,2025-06-25,Won,945.64,ES_Search_Generic_2025Q1
DEAL-00061,Solmar Hotels,2025-06-16,,Qualified,894.83,ES_Search_Brand_2025Q1
DEAL-00062,Solmar Hotels,2025-06-16,2025-07-23,Lost,397.91,
DEAL-00063,Solmar Hotels,2025-06-16,2025-08-02,Won,740.0,ES_Search_SummerEscape_2025Q2
DEAL-00064,Solmar Hotels,2025-06-18,2025-07-30,Won,4723.43,
DEAL-00065,Solmar Hotels,2025-06-19,2025-07-26,Won,2642.02,PT_Social_Prospecting_2025Q1
DEAL-00066,Solmar Hotels,2025-06-19,,New,1085.91,walk-in
DEAL-00067,Solmar Hotels,2025-06-19,2025-07-28,Lost,1564.3,
DEAL-00068,Solmar Hotels,2025-06-20,2025-07-14,Lost,892.97,ES_SOCIAL_PROSPECTING_2025Q1 (COPY)
