date,usd_eur
2025-02-03,0.9189
2025-02-04,0.9174
2025-02-05,0.9187
2025-02-06,0.918
2025-02-07,0.9167
2025-02-10,0.9153
2025-02-11,0.9178
2025-02-12,0.916
2025-02-13,0.9157
2025-02-14,0.9154
2025-02-17,0.9164
2025-02-18,0.9151
2025-02-19,0.9138
2025-02-20,0.915
2025-02-21,0.9186
2025-02-24,0.9177
2025-02-25,0.9167
2025-02-26,0.9204
2025-02-27,0.9198
2025-02-28,0.9193
2025-03-03,0.9196
2025-03-04,0.9202
2025-03-05,0.9205
2025-03-06,0.922
2025-03-07,0.9199
2025-03-10,0.9196
2025-03-11,0.9212
2025-03-12,0.9177
2025-03-13,0.9158
2025-03-14,0.9168
2025-03-17,0.9169
2025-03-18,0.916
2025-03-19,0.9164
2025-03-20,0.9171
2025-03-21,0.9158
2025-03-24,0.9157
2025-03-25,0.9139
2025-03-26,0.9156
2025-03-27,0.9133
2025-03-28,0.9131
2025-03-31,0.9143
2025-04-01,0.9173
2025-04-02,0.917
2025-04-03,0.9211
2025-04-04,0.9194
2025-04-07,0.9203
2025-04-08,0.9192
2025-04-09,0.9217
2025-04-10,0.9216
2025-04-11,0.92
2025-04-14,0.9219
2025-04-15,0.9212
2025-04-16,0.9193
2025-04-17,0.9188
2025-04-18,0.9203
2025-04-21,0.9201
2025-04-22,0.9195
2025-04-23,0.9195
2025-04-24,0.9159
2025-04-25,0.9202
2025-04-28,0.9201
2025-04-29,0.9215
2025-04-30,0.9238
2025-05-01,0.9222
2025-05-02,0.9202
2025-05-05,0.9226
2025-05-06,0.9214
2025-05-07,0.9208
2025-05-08,0.9196
2025-05-09,0.9151
2025-05-12,0.9148
2025-05-13,0.9147
2025-05-14,0.9163
2025-05-15,0.9156
2025-05-16,0.9146
2025-05-19,0.9154
2025-05-20,0.9168
2025-05-21,0.915
2025-05-22,0.912
2025-05-23,0.9154
2025-05-26,0.9177
2025-05-27,0.9167
2025-05-28,0.9161
2025-05-29,0.9161
2025-05-30,0.9147
2025-06-02,0.9138
2025-06-03,0.9136
2025-06-04,0.9114
2025-06-05,0.9149
2025-06-06,0.9124
2025-06-09,0.9092
2025-06-10,0.9105
2025-06-11,0.9099
2025-06-12,0.9105
2025-06-13,0.9104
2025-06-16,0.9098
2025-06-17,0.9097
2025-06-18,0.9102
2025-06-19,0.9119
2025-06-20,0.9107
2025-06-23,0.9114
2025-06-24,0.9107
2025-06-25,0.9101
2025-06-26,0.9088
2025-06-27,0.9083
2025-06-30,0.9064
2025-07-01,0.9047
2025-07-02,0.9033
2025-07-03,0.8999
2025-07-04,0.8984
2025-07-07,0.8976
2025-07-08,0.8981
2025-07-09,0.896
2025-07-10,0.8959
2025-07-11,0.8964
2025-07-14,0.896
2025-07-15,0.8962
2025-07-16,0.8965
2025-07-17,0.8959
2025-07-18,0.8948
2025-07-21,0.895
2025-07-22,0.8933
2025-07-23,0.8899
2025-07-24,0.8887
2025-07-25,0.8878
2025-07-28,0.8879
2025-07-29,0.888
2025-07-30,0.887
2025-07-31,0.887
2025-08-01,0.8883
2025-08-04,0.888
2025-08-05,0.8865
2025-08-06,0.8858
2025-08-07,0.8868
2025-08-08,0.8845
2025-08-11,0.8855
2025-08-12,0.8845
2025-08-13,0.8861
2025-08-14,0.8864
2025-08-15,0.8872
2025-08-18,0.8885
2025-08-19,0.89
2025-08-20,0.8912
2025-08-21,0.8897
2025-08-22,0.8907
2025-08-25,0.8886
2025-08-26,0.8867
2025-08-27,0.8865
2025-08-28,0.8883
2025-08-29,0.888
2025-09-01,0.8867
2025-09-02,0.8875
2025-09-03,0.8867
2025-09-04,0.8873
2025-09-05,0.8874
2025-09-08,0.8859
2025-09-09,0.8875
2025-09-10,0.885
2025-09-11,0.8835
2025-09-12,0.8844
2025-09-15,0.8886
2025-09-16,0.8859
2025-09-17,0.8856
2025-09-18,0.882
2025-09-19,0.8817
2025-09-22,0.8806
2025-09-23,0.8806
2025-09-24,0.8827
2025-09-25,0.8839
2025-09-26,0.8833
2025-09-29,0.8842
2025-09-30,0.8843
2025-10-01,0.8827
2025-10-02,0.8825
2025-10-03,0.8832
2025-10-06,0.8887
2025-10-07,0.8906
2025-10-08,0.8916
2025-10-09,0.8889
2025-10-10,0.8891
2025-10-13,0.8912
2025-10-14,0.892
2025-10-15,0.8937
2025-10-16,0.8945
2025-10-17,0.896
2025-10-20,0.8934
2025-10-21,0.8959
2025-10-22,0.8971
2025-10-23,0.8988
2025-10-24,0.899
2025-10-27,0.8998
2025-10-28,0.9009
2025-10-29,0.9007
2025-10-30,0.8995
2025-10-31,0.8978
2025-11-03,0.8976
2025-11-04,0.8963
2025-11-05,0.8952
2025-11-06,0.8974
2025-11-07,0.8998
2025-11-10,0.8993
2025-11-11,0.9013
2025-11-12,0.901
2025-11-13,0.9004
2025-11-14,0.901
2025-11-17,0.8998
2025-11-18,0.8993
2025-11-19,0.9014
2025-11-20,0.9018
2025-11-21,0.9024
2025-11-24,0.9021
2025-11-25,0.9016
2025-11-26,0.9018
2025-11-27,0.9029
2025-11-28,0.9034
2025-12-01,0.9044
2025-12-02,0.9017
2025-12-03,0.9001
2025-12-04,0.8992
2025-12-05,0.8999
2025-12-08,0.9004
2025-12-09,0.9014
2025-12-10,0.9009
2025-12-11,0.901
2025-12-12,0.9037
2025-12-15,0.9037
2025-12-16,0.901
2025-12-17,0.9017
2025-12-18,0.9035
2025-12-19,0.9052
2025-12-22,0.9047
2025-12-23,0.9043
2025-12-24,0.9054
2025-12-25,0.9056
2025-12-26,0.9065
2025-12-29,0.9056
2025-12-30,0.9061
2025-12-31,0.9053
2026-01-01,0.905
2026-01-02,0.9034
2026-01-05,0.9022
2026-01-06,0.9
2026-01-07,0.8977
2026-01-08,0.8963
